Feature,Importance
p1_odds_shape_strength,0.09062383
p2_odds_shape_strength,0.08360152
glicko_diff,0.07085767
p2_odds_shortened_fav,0.042230275
p1_odds_shortened_fav,0.0397703
elo_diff,0.03668984
glicko_surface_diff,0.035749532
p1_odds_shape_flat,0.03568179
p2_odds_shape_flat,0.026716286
surface_elo_diff,0.019953212
avg_elo_faced_diff,0.015919227
p1_odds_shape_mixed,0.015676701
tournament_strength,0.015612128
recent_matches_30d_diff,0.015462121
tournament_fatigue_diff,0.015231979
p1_odds_late_money,0.014968097
p2_odds_shape_unknown,0.01474596
avg_surface_elo_faced_diff,0.014597533
p2_overall_rd,0.014154052
break_point_surface_conversion_diff,0.014061446
p2_odds_shape_short,0.014034882
p1_surface_rd,0.013873538
surface_Grass,0.013823512
p2_odds_late_money,0.013684874
p2_surface_rd,0.013577884
break_point_conversion_diff,0.013519089
win_pct_last_30d_diff,0.013409272
tiebreak_rate_diff,0.013406798
p1_overall_rd,0.013236572
p1_odds_shape_drift,0.013050452
hold_surface_pct_diff,0.0129677355
p2_odds_shape_inv_u,0.012927209
break_surface_pct_diff,0.012926944
hold_pct_diff,0.012924351
p1_odds_shape_short,0.012786033
tiebreak_win_diff,0.012778921
break_pct_diff,0.012767297
tiebreak_surface_win_diff,0.012609598
h2h_wins_diff,0.012369478
p2_odds_shape_mixed,0.011902937
h2h_surface_wins_diff,0.011900009
tiebreak_surface_rate_diff,0.011841863
home_adv_diff,0.011521488
p2_odds_shape_drift,0.011380442
surface_Hard,0.011331605
surface_Clay,0.011111454
p2_odds_shape_u,0.009681141
p1_odds_shape_u,0.009319826
p1_odds_shape_unknown,0.008673901
p1_odds_shape_inv_u,0.008357394
