matchid,date,surface,player1_name,player2_name,target,elo_diff,surface_elo_diff,fatigue_diff,odds_diff,h2h_wins_diff,win_pct_3m_diff,dominance_roll_diff,recent_matches_30d_diff,days_since_last_diff,tournament_strength,ace_pct_diff,df_pct_diff,first_serve_pct_diff,first_serve_win_pct_diff,second_serve_win_pct_diff,bp_saved_pct_diff,avgw,avgl,implied_prob_w,implied_prob_l,model_prob_p1,model_prob_p2,implied_prob_p1,implied_prob_p2,prob_diff_p1,prob_diff_p2
22260,2024-01-01,Hard,Pavel Kotov,Nuno Borges,1,49.16,-58.59,0.0,0.16,0,36.67,-7.78,0,-22,2,0.86,0.43,26.64,14.51,1.61,33.33,1.58,1.42,0.6329113924050632,0.7042253521126761,0.9986093,0.0013906956,0.6329113924050632,0.7042253521126761,0.36569791202303736,-0.7028346565407767
22230,2024-01-01,Hard,Roman Safiullin,Ben Shelton,1,-138.93,-195.23,0.0,0.61,-1,-17.17,-9.26,0,-3,2,-3.23,0.49,-14.36,11.19,15.16,18.18,1.805,1.195,0.554016620498615,0.8368200836820083,0.9970414,0.0029585958,0.554016620498615,0.8368200836820083,0.44302478374866894,-0.8338614879292923
22237,2024-01-02,Hard,Tomas Martin Etcheverry,Tomas Machac,0,-21.1,-4.1,0.0,1.65,0,-7.14,1.36,0,-6,2,0.67,0.82,7.63,-9.48,-1.22,-4.17,2.325,0.675,0.4301075268817204,1.4814814814814814,0.05710565,0.94289434,1.4814814814814814,0.4301075268817204,-1.4243758322188147,0.512786812679742
22270,2024-01-02,Hard,Chak Lam Coleman Wong,Lorenzo Musetti,0,52.42,76.97,0.0,3.15,0,0.0,-53.49,0,-55,2,1.15,1.83,-9.17,-6.63,-14.85,-4.17,3.075,-0.07499999999999996,0.3252032520325203,-13.333333333333341,0.0067228456,0.99327713,-13.333333333333341,0.3252032520325203,13.340056178936122,0.6680738804786186
22264,2024-01-02,Hard,Pedro Cachin,Liam Broady,0,-45.6,211.38,0.0,1.66,0,0.0,6.93,0,-64,2,-1.97,-1.97,8.39,-29.08,-23.04,-38.1,2.33,0.67,0.4291845493562232,1.4925373134328357,0.0004751454,0.99952483,1.4925373134328357,0.4291845493562232,-1.4920621680220894,0.5703402824156274
22233,2024-01-02,Hard,Sebastian Korda,Yannick Hanfmann,0,94.93,125.78,0.0,-2.94,0,14.28,-0.79,0,5,2,10.51,4.17,-21.37,2.5,-16.25,-25.0,2.9699999999999998,0.030000000000000027,0.3367003367003367,33.33333333333331,0.007958982,0.992041,33.33333333333331,0.3367003367003367,-33.32537435119348,0.6553406550828054
22241,2024-01-02,Hard,Rafael Nadal,Dominic Thiem,1,256.73,67.55,0.0,-0.75,2,-42.86,-8.19,0,293,2,0.97,-3.38,4.43,22.68,30.0,-50.0,1.875,1.125,0.5333333333333333,0.8888888888888888,0.99938214,0.00061786175,0.5333333333333333,0.8888888888888888,0.466048804918925,-0.8882710271411471
22266,2024-01-02,Hard,Jan Lennard Struff,Marin Cilic,1,-196.92,-46.26,0.0,-0.85,1,37.5,-1.35,0,-109,2,-6.51,-6.0,6.41,-5.55,0.3,-10.0,1.925,1.075,0.5194805194805194,0.9302325581395349,0.1468145,0.85318553,0.5194805194805194,0.9302325581395349,-0.37266602415543093,-0.07704702366230098
22235,2024-01-02,Hard,James Duckworth,J J Wolf,1,-193.22,-186.54,0.0,0.61,0,-50.0,4.68,0,27,2,-2.45,-2.27,-3.5,1.74,35.42,50.0,1.805,1.195,0.554016620498615,0.8368200836820083,0.99397933,0.006020665,0.554016620498615,0.8368200836820083,0.4399627143326228,-0.8307994185132461
22240,2024-01-02,Hard,Matteo Arnaldi,Marton Fucsovics,1,31.19,-0.57,0.0,-0.16,0,10.0,7.79,0,14,2,-5.97,0.65,-6.3,-4.32,-5.36,50.0,1.58,1.42,0.6329113924050632,0.7042253521126761,0.1683494,0.8316506,0.6329113924050632,0.7042253521126761,-0.4645619922423664,0.12742526262578824
22265,2024-01-02,Hard,Sebastian Ofner,Mackenzie Mcdonald,1,-212.41,-241.66,0.0,1.2,0,0.0,-0.3,0,-8,2,13.64,-1.98,-3.85,17.41,22.06,-28.57,2.1,0.9,0.47619047619047616,1.1111111111111112,0.9939129,0.0060871243,0.47619047619047616,1.1111111111111112,0.5177223994618371,-1.1050239867634244
22242,2024-01-02,Hard,Rinky Hijikata,Thanasi Kokkinakis,1,122.67,132.9,0.0,1.08,0,-16.67,-17.85,0,-32,2,-19.84,-0.12,-17.6,8.02,17.14,50.0,2.04,0.96,0.49019607843137253,1.0416666666666667,0.9825304,0.017469585,0.49019607843137253,1.0416666666666667,0.49233433662676346,-1.0241970817248027
22236,2024-01-02,Hard,Li Tu,Daniel Altmaier,0,81.0,-152.75,0.0,0.73,0,-28.57,13.67,0,47,2,-5.03,1.18,-12.48,6.25,-5.93,100.0,1.865,1.135,0.5361930294906166,0.8810572687224669,0.74113226,0.25886774,0.8810572687224669,0.5361930294906166,-0.13992500935357044,-0.27732528885951313
22269,2024-01-02,Hard,Arthur Fils,Borna Gojo,1,279.48,277.59,0.0,-0.88,0,5.56,-4.97,0,-4,2,-9.31,-0.1,-1.08,4.7,13.68,54.17,1.94,1.06,0.5154639175257733,0.9433962264150942,0.99133086,0.008669138,0.5154639175257733,0.9433962264150942,0.47586694451951483,-0.9347270884603823
22238,2024-01-02,Hard,Aleksandar Vukic,Jordan Thompson,0,-74.13,-103.59,0.0,0.92,0,0.0,7.99,0,6,2,-9.66,-2.17,-1.61,-25.89,-15.66,50.0,1.96,1.04,0.5102040816326531,0.9615384615384615,0.00087329606,0.99912673,0.9615384615384615,0.5102040816326531,-0.9606651654825187,0.4889226507167427
22234,2024-01-02,Hard,Lukas Klein,Sebastian Baez,1,-162.87,-74.26,0.0,0.28,0,-28.57,14.67,0,260,2,8.23,0.67,-18.55,16.9,-4.62,-18.57,1.6400000000000001,1.3599999999999999,0.6097560975609756,0.7352941176470589,0.7836606,0.21633941,0.6097560975609756,0.7352941176470589,0.17390449308767553,-0.51895470829571
22239,2024-01-02,Hard,Jason Kubler,Aslan Karatsev,1,-20.34,-41.56,0.0,1.09,1,-57.14,2.26,0,57,2,3.72,-7.26,8.76,-11.09,2.99,16.67,2.045,0.955,0.48899755501222497,1.0471204188481675,0.20034036,0.7996596,0.48899755501222497,1.0471204188481675,-0.28865719460916406,-0.24746080905355083
22268,2024-01-02,Hard,Marc Andrea Huesler,Vitaliy Sachko,1,-46.98,142.85,0.0,-1.0,0,0.0,16.81,0,0,2,10.84,-2.06,-2.73,-5.98,18.18,66.67,2.0,1.0,0.5,1.0,0.91076064,0.08923936,0.5,1.0,0.41076064109802246,-0.9107606410980225
22267,2024-01-02,Hard,Fabian Marozsan,Roberto Bautista Agut,0,-35.16,3.51,0.0,0.61,1,33.34,-0.24,0,-1,2,10.55,9.09,0.32,-1.05,-45.24,-50.0,1.805,1.195,0.554016620498615,0.8368200836820083,0.008710409,0.9912896,0.8368200836820083,0.554016620498615,-0.8281096750987249,0.4372729951324885
22263,2024-01-02,Hard,Miomir Kecmanovic,Taro Daniel,1,128.26,72.35,0.0,-0.86,0,42.86,3.26,0,-21,2,7.48,0.48,3.46,16.59,41.43,7.14,1.93,1.07,0.5181347150259068,0.9345794392523364,0.9988587,0.0011413097,0.5181347150259068,0.9345794392523364,0.480723975235934,-0.9334381295141773
22524,2024-02-06,Hard,James Duckworth,Zachary Svajda,1,-3.45,3.92,0.0,-0.23,0,50.0,5.67,1,-140,2,17.01,-2.99,-0.66,17.9,33.63,75.0,1.615,1.385,0.6191950464396285,0.7220216606498195,0.9989937,0.0010063052,0.6191950464396285,0.7220216606498195,0.37979864834262855,-0.7210153554320766
22246,2024-01-03,Hard,Roman Safiullin,Alexei Popyrin,1,-8.14,-59.37,5.22,-0.97,0,12.7,-7.07,0,-1,2,7.5,-2.0,-6.28,-0.49,14.97,15.08,1.9849999999999999,1.0150000000000001,0.5037783375314862,0.9852216748768472,0.9227095,0.077290475,0.5037783375314862,0.9852216748768472,0.4189311871000141,-0.9079311995083474
22245,2024-01-03,Hard,Lukas Klein,Matteo Arnaldi,0,-160.24,-64.6,-12.27,0.89,0,33.33,2.85,0,0,2,-5.5,-0.3,2.47,-0.09,-12.39,-10.0,1.945,1.055,0.5141388174807198,0.9478672985781991,0.06535153,0.93464845,0.9478672985781991,0.5141388174807198,-0.8825157676686608,0.42050963670858077
22272,2024-01-03,Hard,Frances Tiafoe,Miomir Kecmanovic,1,57.03,77.81,-17.49,-0.21,3,-16.67,6.16,-1,64,2,7.31,0.02,5.16,16.3,-6.21,33.33,1.605,1.395,0.6230529595015576,0.7168458781362007,0.98870546,0.011294544,0.6230529595015576,0.7168458781362007,0.36565249675530886,-0.7055513343930672
22271,2024-01-03,Hard,Botic Van De Zandschulp,Juncheng Shang,0,67.37,66.12,-15.42,-0.8,0,4.55,-1.78,0,0,2,9.66,-3.79,7.81,-3.41,4.28,-5.36,1.9,1.1,0.5263157894736842,0.9090909090909091,0.41912562,0.5808744,0.9090909090909091,0.5263157894736842,-0.4899652925404635,0.05455859397587026
22274,2024-01-03,Hard,Pavel Kotov,Lorenzo Musetti,1,-44.84,-17.49,-6.21,0.5,0,52.73,3.38,0,1,2,1.12,5.63,-5.28,11.72,-8.97,75.0,1.75,1.25,0.5714285714285714,0.8,0.93914455,0.06085545,0.5714285714285714,0.8,0.3677159803254264,-0.7391445517539978
22243,2024-01-03,Hard,Alex Michelsen,Ugo Humbert,0,68.33,0.81,0.0,1.47,0,-78.57,-0.69,0,72,2,-0.6,5.06,-1.94,-19.6,-26.23,-20.0,2.235,0.765,0.447427293064877,1.3071895424836601,0.0005710593,0.9994289,1.3071895424836601,0.447427293064877,-1.3066184831877525,0.5520016348335299
