Player,Overall Elo,Hard Elo,Clay Elo,Grass Elo,Last Match,Matches Last 6M,Career Matches,Avg Elo Faced,Matches vs Top 20,Winrate vs Top 20,Matches vs Top 50,Winrate vs Top 50
Fearnley J.,1507.27,1514.71,1507.27,1492.56,2025-01-17,0,8,1586.64,2,0.0,2,0.0
Searle H.,1409.86,1409.86,1409.86,1409.86,2024-07-02,0,2,1487.49,0,0.0,0,0.0
Hussey G.,1437.55,1437.55,1437.55,1437.55,2024-06-26,0,2,1487.91,0,0.0,0,0.0
Broom C.,1408.24,1408.24,1408.24,1408.24,2024-07-01,0,2,1480.49,0,0.0,0,0.0
Janvier M.,1420.2,1420.2,1420.2,1420.2,2024-07-01,0,1,1496.85,0,0.0,0,0.0
Pellegrino A.,1423.04,1423.04,1423.04,1423.04,2024-07-16,0,1,1387.79,0,0.0,0,0.0
Mikrut L.,1421.39,1421.39,1421.39,1421.39,2024-07-21,0,1,1357.65,0,0.0,0,0.0
Schwaerzler J.,1471.11,1493.33,1477.79,1471.11,2024-10-21,0,2,1639.93,1,0.0,1,0.0
Dodig M.,1440.4,1440.4,1440.4,1440.4,2024-07-24,0,2,1433.59,0,0.0,0,0.0
Jacquet K.,1443.61,1443.61,1443.61,1443.61,2024-08-26,0,1,1743.3,0,0.0,1,0.0
Kasnikowski M.,1432.06,1432.06,1432.06,1432.06,2024-08-26,0,1,1407.65,0,0.0,0,0.0
Forbes M.,1436.08,1436.08,1436.08,1436.08,2024-08-27,0,1,1487.23,0,0.0,0,0.0
Sun F.,1482.02,1482.02,1482.02,1482.02,2024-09-18,0,1,1480.31,0,0.0,0,0.0
Collignon R.,1484.11,1484.11,1484.11,1484.11,2024-10-14,0,1,1536.97,0,0.0,0,0.0
Engel J.,1498.23,1498.23,1498.23,1498.23,2024-10-16,0,2,1500.22,0,0.0,0,0.0
Kym J.,1488.25,1488.25,1488.25,1488.25,2024-10-21,0,1,1559.53,0,0.0,0,0.0
Papamalamis T.,1479.49,1479.49,1479.49,1479.49,2024-11-04,0,1,1434.14,0,0.0,0,0.0
Djuric B.,1481.55,1481.55,1481.55,1481.55,2024-11-04,0,1,1417.55,0,0.0,0,0.0
Basavareddy N.,1515.71,1515.71,1515.71,1515.71,2025-01-13,0,6,1632.07,1,0.0,1,0.0
Becroft I.,1481.86,1481.86,1481.86,1481.86,2025-01-06,0,1,1442.47,0,0.0,0,0.0
Onclin G.,1479.47,1479.47,1479.47,1479.47,2025-01-12,0,1,1421.59,0,0.0,0,0.0
Habib H.,1503.53,1503.53,1503.53,1503.53,2025-01-15,0,2,1518.81,0,0.0,0,0.0
Boyer T.,1503.38,1503.38,1503.38,1503.38,2025-01-16,0,2,1578.02,0,0.0,1,0.0
Samrej K.,1494.06,1494.06,1494.06,1494.06,2025-01-14,0,1,1832.48,1,0.0,1,0.0
