Player,Overall Elo,Hard Elo,Clay Elo,Grass Elo,Last Match,Matches Last 6M,Career Matches,Avg Elo Faced,Matches vs Top 20,Winrate vs Top 20,Matches vs Top 50,Winrate vs Top 50
Escobedo E.,1251.58,1251.58,1251.58,1251.58,2024-02-27,0,15,1475.57,0,0.0,1,0.0
Broady L.,1363.62,1381.19,1432.29,1379.18,2024-07-01,0,38,1514.06,0,0.0,5,0.4
Verdasco F.,1235.36,1278.84,1303.25,1326.15,2023-04-18,0,31,1478.39,0,0.0,0,0.0
Draper J.,1684.79,1619.19,1487.81,1512.11,2025-01-19,0,124,1614.76,4,0.25,41,0.39
Zeppieri G.,1277.46,1266.2,1299.46,1277.46,2024-05-30,0,19,1518.85,0,0.0,4,0.0
Huesler M.A.,1354.36,1416.96,1380.37,1396.57,2024-12-31,0,62,1471.87,0,0.0,8,0.25
Kuznetsov An.,1157.06,1258.12,1163.47,1157.06,2023-08-22,0,3,1521.01,0,0.0,1,0.0
Marterer M.,1386.71,1445.6,1445.57,1495.54,2024-10-16,0,40,1494.09,1,0.0,4,0.0
Borges N.,1433.53,1504.29,1458.25,1470.99,2025-01-17,0,92,1553.96,6,0.0,15,0.13
Taberner C.,1275.29,1319.79,1285.64,1320.94,2024-04-16,0,32,1500.2,0,0.0,3,0.0
Cazaux A.,1316.73,1511.77,1304.14,1500.82,2025-01-29,0,36,1529.1,1,0.0,8,0.12
Stricker D.,1375.43,1426.02,1318.86,1333.59,2025-01-13,0,39,1552.18,0,0.0,9,0.33
Cobolli F.,1482.81,1532.27,1450.48,1500.07,2025-01-30,0,77,1568.42,4,0.0,20,0.15
Topo M.,1165.99,1165.99,1165.99,1165.99,2024-04-16,0,5,1479.33,0,0.0,0,0.0
Medjedovic H.,1391.88,1471.44,1371.79,1498.39,2024-11-09,0,33,1514.81,1,0.0,3,0.0
Otte O.,1308.58,1321.08,1333.13,1362.77,2024-06-18,0,67,1507.69,1,0.0,12,0.0
Giannessi A.,1172.98,1172.98,1172.98,1172.98,2023-04-03,0,5,1466.32,0,0.0,0,0.0
Couacaud E.,1251.25,1354.04,1275.7,1277.9,2024-07-22,0,10,1531.04,1,0.0,1,0.0
Bourgue M.,1171.54,1184.79,1178.26,1171.54,2023-11-06,0,2,1477.38,0,0.0,0,0.0
Brooksby J.,1381.78,1384.09,1302.32,1353.55,2025-01-14,0,76,1562.3,0,0.0,13,0.15
Molleker R.,1199.82,1199.82,1212.58,1198.62,2024-07-15,0,5,1480.77,0,0.0,0,0.0
Rodionov J.,1355.74,1371.3,1405.71,1372.32,2024-04-17,0,28,1515.3,1,0.0,1,0.0
Marchenko I.,1184.54,1209.54,1184.54,1195.12,2023-08-21,0,10,1492.22,0,0.0,0,0.0
Ofner S.,1375.99,1365.81,1340.61,1316.24,2024-08-26,0,72,1459.53,1,0.0,12,0.08
Zhang Zh.,1483.81,1423.35,1461.21,1399.68,2025-01-14,0,95,1549.25,4,0.25,18,0.33
Trungelliti M.,1290.06,1289.37,1383.81,1293.1,2024-09-19,0,14,1494.86,0,0.0,1,0.0
Krueger M.,1344.53,1353.99,1417.4,1366.21,2025-01-16,0,22,1468.91,0,0.0,0,0.0
Sock J.,1331.15,1325.94,1321.48,1350.8,2023-04-05,0,34,1516.5,0,0.0,5,0.0
Serdarusic N.,1184.82,1205.66,1203.37,1184.82,2023-05-23,0,4,1513.18,0,0.0,0,0.0
Kopriva V.,1275.2,1267.86,1285.94,1442.34,2024-07-22,0,16,1549.59,1,0.0,3,0.0
Bergs Z.,1450.33,1470.64,1495.83,1483.86,2025-01-14,0,51,1477.39,1,0.0,8,0.0
Wolf J.J.,1402.73,1414.0,1436.73,1442.76,2024-07-30,0,93,1494.86,1,0.0,16,0.12
Ajdukovic D.,1279.65,1496.26,1283.39,1279.65,2024-11-06,0,12,1476.74,0,0.0,1,0.0
Collarini A.,1183.16,1183.16,1183.16,1183.16,2024-07-22,0,2,1474.29,0,0.0,0,0.0
Riedi L.,1195.75,1268.3,1194.74,1195.75,2024-07-17,0,8,1536.97,0,0.0,2,0.0
Gomez E.,1282.24,1284.44,1357.67,1282.24,2023-07-31,0,19,1505.86,0,0.0,3,0.0
Mejia N.,1183.99,1183.99,1183.99,1183.99,2024-08-20,0,2,1493.72,0,0.0,0,0.0
Neumayer L.,1204.87,1204.87,1204.87,1204.87,2024-07-24,0,3,1456.21,0,0.0,0,0.0
Watanuki Y.,1404.91,1380.44,1395.68,1438.11,2024-10-08,0,30,1558.3,0,0.0,9,0.11
Wu T.L.,1230.06,1230.06,1230.06,1230.06,2023-03-10,0,6,1549.71,0,0.0,1,0.0
Ilkel C.,1219.95,1219.95,1219.95,1219.95,2023-11-09,0,7,1489.03,0,0.0,0,0.0
Svajda Z.,1371.72,1381.39,1371.72,1490.33,2024-10-04,0,21,1478.91,0,0.0,2,0.0
Skatov T.,1304.36,1286.5,1326.02,1304.36,2024-10-16,0,10,1546.93,0,0.0,3,0.0
Lazarov A.,1229.47,1229.47,1229.47,1229.47,2023-11-07,0,5,1490.28,0,0.0,0,0.0
Kachmazov A.,1287.81,1287.81,1287.81,1287.81,2025-01-28,0,9,1481.39,0,0.0,1,0.0
Borg L.,1262.87,1257.43,1374.66,1262.87,2024-10-15,0,7,1504.66,0,0.0,1,0.0
Vavassori A.,1279.57,1275.4,1336.9,1256.45,2024-05-09,0,19,1557.74,3,0.0,3,0.0
Hijikata R.,1439.58,1452.05,1482.23,1505.3,2025-01-14,0,67,1534.12,1,0.0,12,0.0
Tseng C.H.,1316.27,1341.79,1363.59,1355.74,2024-09-19,0,10,1466.39,0,0.0,0,0.0
Lehecka J.,1595.43,1594.24,1494.19,1506.99,2025-01-19,0,129,1551.85,7,0.29,37,0.35
Varillas J.P.,1371.18,1428.28,1389.97,1437.42,2024-07-17,0,38,1484.47,1,0.0,4,0.25
Shang J.,1477.03,1493.17,1396.29,1514.47,2025-01-13,0,63,1506.03,2,0.0,10,0.2
Benchetrit E.,1226.82,1226.82,1226.82,1226.82,2024-04-01,0,3,1500.14,0,0.0,1,0.0
Brouwer G.,1437.18,1435.45,1451.05,1424.11,2024-06-24,0,27,1498.05,0,0.0,3,0.0
Guinard M.,1314.04,1326.98,1311.05,1314.04,2025-01-08,0,12,1529.4,0,0.0,3,0.0
Rehberg M.,1237.29,1237.29,1237.29,1237.29,2024-04-15,0,4,1517.4,0,0.0,0,0.0
Arnaldi M.,1507.06,1475.24,1472.47,1486.97,2025-01-14,0,85,1545.16,5,0.0,19,0.26
Passaro F.,1320.89,1348.09,1347.06,1320.89,2025-01-15,0,18,1462.69,0,0.0,1,1.0
Nardi L.,1402.2,1463.59,1447.47,1491.14,2025-01-14,0,30,1484.16,1,1.0,8,0.12
Ugo Carabelli C.,1338.49,1483.67,1354.82,1338.49,2025-01-14,0,14,1535.54,1,0.0,4,0.0
Cachin P.,1340.97,1388.99,1401.28,1434.71,2024-07-16,0,64,1529.25,1,0.0,10,0.1
Tseng C. H.,1291.8,1300.01,1313.13,1291.8,2024-07-25,0,10,1538.77,0,0.0,2,0.0
De Jong J.,1411.42,1428.13,1427.16,1419.01,2025-02-01,0,14,1584.15,3,0.0,4,0.0
Van Rijthoven T.,1355.85,1295.62,1355.85,1382.9,2024-06-11,0,19,1514.84,1,0.0,5,0.6
Squire H.,1268.47,1268.47,1285.84,1256.5,2024-06-18,0,5,1570.84,0,0.0,2,0.0
Jubb P.,1285.69,1285.69,1285.69,1285.69,2024-07-02,0,7,1468.73,0,0.0,0,0.0
Peniston R.,1300.28,1285.1,1300.28,1310.29,2023-07-04,0,13,1503.37,0,0.0,2,0.5
Ritschard A.,1326.63,1352.27,1340.34,1347.4,2024-04-02,0,10,1511.98,0,0.0,3,0.0
Misolic F.,1348.45,1320.57,1359.2,1348.45,2024-07-22,0,17,1508.55,0,0.0,1,0.0
Sachko V.,1277.56,1370.97,1302.13,1277.56,2024-01-02,0,4,1417.49,0,0.0,0,0.0
Poljicak M.,1256.14,1256.14,1256.14,1256.14,2024-07-22,0,2,1467.55,0,0.0,0,0.0
Prizmic D.,1333.23,1397.83,1340.54,1333.23,2024-02-12,0,9,1547.0,1,0.0,1,0.0
Shevchenko A.,1453.75,1482.46,1483.1,1488.18,2025-01-13,0,84,1522.58,4,0.0,21,0.19
Shelton B.,1583.02,1608.06,1487.31,1487.65,2025-01-24,0,127,1582.97,9,0.11,25,0.32
Gakhov I.,1270.23,1270.23,1270.23,1270.23,2024-04-16,0,4,1617.47,1,0.0,1,0.0
Edmund K.,1287.15,1309.76,1318.75,1287.15,2023-05-10,0,12,1530.38,0,0.0,3,0.0
Klahn B.,1253.12,1253.12,1253.12,1253.12,2023-07-31,0,2,1437.42,0,0.0,0,0.0
Pacheco Mendez R.,1271.4,1271.4,1271.4,1271.4,2024-02-28,0,5,1485.53,0,0.0,1,0.0
Galarneau A.,1261.86,1261.86,1261.86,1261.86,2023-08-07,0,2,1593.11,0,0.0,0,0.0
Holt B.,1328.2,1328.2,1328.2,1328.2,2024-08-14,0,9,1512.55,0,0.0,2,0.5
Wu Y.,1469.28,1501.32,1430.31,1431.31,2024-10-06,0,36,1565.61,1,0.0,9,0.22
Tien L.,1368.22,1368.22,1368.22,1368.22,2025-01-20,0,12,1518.65,1,1.0,3,0.33
Kovacevic A.,1434.42,1473.42,1463.99,1497.01,2025-02-02,0,53,1512.94,2,0.0,11,0.18
Hong S.,1330.61,1330.61,1330.61,1330.61,2024-08-01,0,5,1531.01,0,0.0,1,1.0
Madaras D.,1267.67,1278.21,1281.33,1267.67,2023-07-17,0,2,1480.4,0,0.0,0,0.0
Chung Y.,1267.36,1277.74,1267.36,1281.49,2023-07-18,0,2,1482.26,0,0.0,0,0.0
Zhukayev B.,1341.26,1341.26,1341.26,1341.26,2024-10-18,0,8,1536.65,0,0.0,2,0.0
Shimabukuro S.,1285.47,1293.43,1285.47,1308.1,2023-10-17,0,8,1499.14,0,0.0,1,0.0
Landaluce M.,1289.36,1324.93,1298.19,1289.36,2025-01-13,0,8,1472.96,0,0.0,0,0.0
Vatutin A.,1329.09,1342.21,1353.13,1329.09,2024-10-15,0,3,1484.23,0,0.0,0,0.0
Van Assche L.,1399.66,1431.56,1477.75,1490.35,2024-11-06,0,52,1518.74,1,0.0,9,0.0
Bailly G.,1302.07,1302.07,1302.07,1302.07,2024-10-16,0,2,1433.99,0,0.0,0,0.0
Fils A.,1578.98,1554.3,1524.07,1500.61,2025-01-17,0,99,1529.01,4,0.25,20,0.5
Mukund S.,1286.42,1297.11,1286.42,1302.51,2023-07-18,0,2,1460.98,0,0.0,0,0.0
Pannu K.,1313.09,1313.09,1313.09,1313.09,2024-01-09,0,3,1481.78,0,0.0,0,0.0
Svrcina D.,1338.94,1338.94,1338.94,1338.94,2024-01-31,0,5,1472.26,0,0.0,0,0.0
Hsu Y.,1342.55,1342.55,1342.55,1342.55,2023-10-08,0,6,1589.97,0,0.0,3,0.0
Krutykh O.,1297.19,1308.57,1324.84,1297.19,2023-04-17,0,3,1471.36,0,0.0,0,0.0
Bellucci M.,1382.32,1398.55,1372.43,1492.04,2025-01-30,0,17,1499.45,1,0.0,2,0.0
Lokoli L.,1315.47,1322.2,1315.47,1346.79,2023-07-03,0,3,1564.18,0,0.0,1,0.0
