event_id,event_name,date,time_utc,runnerid1,runnername1,runnerid2,runnername2,runner,runner_id,is_runner1,opening_odds,odds_25pct,odds_50pct,odds_75pct,closing_odds,num_updates,record_id
33898876,Kenin/Mertens v Marino/Moore,31/12/2024,0:00:00,78409327,Kenin/Mertens,75904943,Marino/Moore,Marino/Moore,75904943,FALSE,7.4,,,,7.4,0,2025_1
33898876,Kenin/Mertens v Marino/Moore,31/12/2024,0:00:00,78409327,Kenin/Mertens,75904943,Marino/Moore,Kenin/Mertens,78409327,TRUE,1.15,,,,1.15,0,2025_2
33897004,Collignon/Kasnikowski v Romios/Stalder,29/12/2024,23:00:00,78356820,Collignon/Kasnikowski,70848897,Romios/Stalder,Collignon/Kasnikowski,78356820,TRUE,2.24,2.86,3.2,3.1,3.1,4,2025_3
33897004,Collignon/Kasnikowski v Romios/Stalder,29/12/2024,23:00:00,78356820,Collignon/Kasnikowski,70848897,Romios/Stalder,Romios/Stalder,70848897,FALSE,1.8,1.54,1.55,1.47,1.47,5,2025_4
