event_id,event_name,date,time_utc,runnerid1,runnername1,runnerid2,runnername2,runner,runner_id,is_runner1,opening_odds,odds_25pct,odds_50pct,odds_75pct,closing_odds,num_updates,record_id
30367257,L Harris v Karatsev,2021-03-20,15:00:00,7659748,Aslan Karatsev,11313212,Lloyd Harris,Aslan Karatsev,7659748,TRUE,1.55,1.49,1.49,1.5,1.56,141,2021_1
30367257,L Harris v Karatsev,2021-03-20,15:00:00,7659748,Aslan Karatsev,11313212,Lloyd Harris,Lloyd Harris,11313212,FALSE,2.84,3.05,3,2.98,2.78,101,2021_2
30364951,Kalashnikov/Kudryavtsev v Christian/Santamaria,2021-03-19,23:00:00,10221543,Christian/Santamaria,18911125,Kalashnikov/Kudryavtsev,Kalashnikov/Kudryavtsev,18911125,FALSE,1.9,1.94,1.94,1.94,2.1,6,2021_3
30364951,Kalashnikov/Kudryavtsev v Christian/Santamaria,2021-03-19,23:00:00,10221543,Christian/Santamaria,18911125,Kalashnikov/Kudryavtsev,Christian/Santamaria,10221543,TRUE,1.68,1.65,1.65,1.65,2,7,2021_4
30365417,Golubic v Kalinskaya,2021-03-20,0:00:00,8907174,Anna Kalinskaya,7283232,Viktorija Golubic,Viktorija Golubic,7283232,FALSE,1.45,1.5,1.5,1.49,1.56,40,2021_5
30365417,Golubic v Kalinskaya,2021-03-20,0:00:00,8907174,Anna Kalinskaya,7283232,Viktorija Golubic,Anna Kalinskaya,8907174,TRUE,3,2.96,3,2.96,2.78,21,2021_6
30367991,E Hozumi v D Spiteri,2021-03-20,7:00:00,9638424,D Spiteri,8547441,E Hozumi,D Spiteri,9638424,TRUE,2.3,,,,2.3,0,2021_7
30367991,E Hozumi v D Spiteri,2021-03-20,7:00:00,9638424,D Spiteri,8547441,E Hozumi,E Hozumi,8547441,FALSE,1.76,1.71,1.71,1.71,1.71,1,2021_8
30365450,Granollers/Zeballos v Herbert/Mahut,2021-03-20,16:00:00,25327214,Granollers/Zeballos,8942538,Herbert/Mahut,Granollers/Zeballos,25327214,TRUE,2.18,2.62,2.46,2.38,2.52,7,2021_9
30365450,Granollers/Zeballos v Herbert/Mahut,2021-03-20,16:00:00,25327214,Granollers/Zeballos,8942538,Herbert/Mahut,Herbert/Mahut,8942538,FALSE,1.37,1.63,1.63,1.63,1.63,11,2021_10
30366701,M Gasparyan v Zvonareva,2021-03-19,23:00:00,6750186,Margarita Gasparyan,2250861,Vera Zvonareva,Margarita Gasparyan,6750186,TRUE,2.74,2.6,2.52,2.58,2.6,64,2021_11
30366701,M Gasparyan v Zvonareva,2021-03-19,23:00:00,6750186,Margarita Gasparyan,2250861,Vera Zvonareva,Vera Zvonareva,2250861,FALSE,1.6,1.62,1.63,1.64,1.61,73,2021_12
30368099,S Jang v J Markova,2021-03-20,7:30:00,12076976,J Markova,8714570,S Jang,J Markova,12076976,TRUE,2.38,,,,2.38,0,2021_13
30368099,S Jang v J Markova,2021-03-20,7:30:00,12076976,J Markova,8714570,S Jang,S Jang,8714570,FALSE,1.6,,,,1.6,0,2021_14
30363217,Anna-Ka Schmiedlova v Sorribes Tormo,2021-03-18,23:00:00,38604135,Anna-Karolina Schmiedlo,6356637,Sara Sorribes Tormo,Sara Sorribes Tormo,6356637,FALSE,1.63,1.3,1.58,1.47,1.48,96,2021_15
30363217,Anna-Ka Schmiedlova v Sorribes Tormo,2021-03-18,23:00:00,38604135,Anna-Karolina Schmiedlo,6356637,Sara Sorribes Tormo,Anna-Karolina Schmiedlo,38604135,TRUE,2.68,2.72,2.8,3.15,3.15,47,2021_16
30365310,Al Kovacevic v Fratangelo,2021-03-19,23:00:00,11439844,Aleksandar Kovacevic,7593723,Bjorn Fratangelo,Aleksandar Kovacevic,11439844,TRUE,3.45,3.25,3.25,3.4,2.96,21,2021_17
30365310,Al Kovacevic v Fratangelo,2021-03-19,23:00:00,11439844,Aleksandar Kovacevic,7593723,Bjorn Fratangelo,Bjorn Fratangelo,7593723,FALSE,1.41,1.39,1.39,1.34,1.5,30,2021_18
30365328,Koepfer v A Zverev,2021-03-20,16:00:00,19924823,Alexander Zverev,9953145,Dominik Koepfer,Alexander Zverev,19924823,TRUE,1.2,1.2,1.2,1.19,1.19,66,2021_19
30365328,Koepfer v A Zverev,2021-03-20,16:00:00,19924823,Alexander Zverev,9953145,Dominik Koepfer,Dominik Koepfer,9953145,FALSE,5.8,6,6.2,6.2,6.2,48,2021_20
30368098,T Wurth v M Hontama,2021-03-20,7:30:00,11116451,M Hontama,27694860,T Wurth,M Hontama,11116451,TRUE,2.14,,,,2.14,0,2021_21
30367432,Cabal/Farah v Mektic/Pavic,2021-03-20,12:30:00,6098095,Cabal/Farah,7024649,Mektic/Pavic,Mektic/Pavic,7024649,FALSE,1.51,1.6,1.57,1.55,1.63,14,2021_22
30367432,Cabal/Farah v Mektic/Pavic,2021-03-20,12:30:00,6098095,Cabal/Farah,7024649,Mektic/Pavic,Cabal/Farah,6098095,TRUE,2.66,2.5,2.74,2.48,2.44,9,2021_23
30368042,Brooksby v Fratangelo,2021-03-20,19:00:00,7593723,Bjorn Fratangelo,11881072,Jenson Brooksby,Jenson Brooksby,11881072,FALSE,1.89,2,2.18,2.14,2.02,52,2021_24
30368042,Brooksby v Fratangelo,2021-03-20,19:00:00,7593723,Bjorn Fratangelo,11881072,Jenson Brooksby,Bjorn Fratangelo,7593723,TRUE,1.9,2,1.87,1.88,1.96,58,2021_25
30366836,Se Baez v Jua Varillas,2021-03-20,14:00:00,11772759,Juan Pablo Varillas,11285506,Sebastian Baez,Juan Pablo Varillas,11772759,TRUE,2.8,3,3.05,2.94,3.05,33,2021_26
30366836,Se Baez v Jua Varillas,2021-03-20,14:00:00,11772759,Juan Pablo Varillas,11285506,Sebastian Baez,Sebastian Baez,11285506,FALSE,1.48,1.46,1.46,1.49,1.44,30,2021_27
30367345,Svetl Kuznetsova v Kasatkina,2021-03-20,12:30:00,7795290,Daria Kasatkina,2256501,Svetlana Kuznetsova,Svetlana Kuznetsova,2256501,FALSE,2.54,2.6,2.62,2.68,3.05,43,2021_28
