event_id,event_name,date,time_utc,runnerid1,runnername1,runnerid2,runnername2,runner,runner_id,is_runner1,opening_odds,odds_25pct,odds_50pct,odds_75pct,closing_odds,num_updates,record_id
29191010,Gunneswaran v Clarke,2019-03-19,20:00:00,8596391,Jay Clarke,8256934,Prajnesh Gunneswaran,Jay Clarke,8596391,TRUE,3.5,3.65,3.35,3.4,3.45,32,2019_1
29191010,Gunneswaran v Clarke,2019-03-19,20:00:00,8596391,Jay Clarke,8256934,Prajnesh Gunneswaran,Prajnesh Gunneswaran,8256934,FALSE,1.34,1.38,1.38,1.4,1.41,43,2019_2
29190904,Gombos v Moutet,2019-03-19,9:00:00,8842291,Corentin Moutet,8173023,Norbert Gombos,Corentin Moutet,8842291,TRUE,1.79,1.74,1.74,1.69,1.78,34,2019_3
29190904,Gombos v Moutet,2019-03-19,9:00:00,8842291,Corentin Moutet,8173023,Norbert Gombos,Norbert Gombos,8173023,FALSE,2.1,2.12,2.12,2.12,2.24,25,2019_4
29188399,Molchanov/Zelenay v Junaid/Pel,2019-03-18,9:00:00,18349914,Junaid/Pel,12008824,Molchanov/Zelenay,Junaid/Pel,18349914,TRUE,2.6,,,,2.6,0,2019_5
29188399,Molchanov/Zelenay v Junaid/Pel,2019-03-18,9:00:00,18349914,Junaid/Pel,12008824,Molchanov/Zelenay,Molchanov/Zelenay,12008824,FALSE,1.62,,,,1.62,0,2019_6
29190795,F Auger-Aliassime v Lorenzi,2019-03-19,15:00:00,12210252,Felix Auger-Aliassime,2345099,Paolo Lorenzi,Felix Auger-Aliassime,12210252,TRUE,1.25,1.22,1.2,1.19,1.23,118,2019_7
29190795,F Auger-Aliassime v Lorenzi,2019-03-19,15:00:00,12210252,Felix Auger-Aliassime,2345099,Paolo Lorenzi,Paolo Lorenzi,2345099,FALSE,4.1,5.7,6,6.2,5.3,69,2019_8
29190553,Opelka v M Granollers,2019-03-19,15:00:00,3035263,Marcel Granollers,8859316,Reilly Opelka,Reilly Opelka,8859316,FALSE,1.5,1.55,1.51,1.55,1.6,125,2019_9
29190553,Opelka v M Granollers,2019-03-19,15:00:00,3035263,Marcel Granollers,8859316,Reilly Opelka,Marcel Granollers,3035263,TRUE,3,2.82,3,2.8,2.64,67,2019_10
29190732,Townsend v Haddad Maia,2019-03-19,15:00:00,7083752,Beatriz Haddad Maia,7066166,Taylor Townsend,Taylor Townsend,7066166,FALSE,2.74,2.46,2.44,2.4,2.42,77,2019_11
29190732,Townsend v Haddad Maia,2019-03-19,15:00:00,7083752,Beatriz Haddad Maia,7066166,Taylor Townsend,Beatriz Haddad Maia,7083752,TRUE,1.58,1.69,1.71,1.7,1.66,149,2019_12
