event_id,event_name,date,time_utc,runnerid1,runnername1,runnerid2,runnername2,runner,runner_id,is_runner1,opening_odds,odds_25pct,odds_50pct,odds_75pct,closing_odds,num_updates,record_id
32197782,Piros v Ry Peniston,2023-03-19,9:00:00,9629249,Ryan Peniston,10410254,Zsombor Piros,Zsombor Piros,10410254,FALSE,1.5,1.45,1.47,1.46,1.46,21,2023_1
32197782,Piros v Ry Peniston,2023-03-19,9:00:00,9629249,Ryan Peniston,10410254,Zsombor Piros,Ryan Peniston,9629249,TRUE,3.1,3.15,3.15,3.15,3.15,7,2023_2
32199844,Cukierman v Safwat,2023-03-20,12:00:00,9361738,Daniel Cukierman,6948116,Mohamed Safwat,Mohamed Safwat,6948116,FALSE,2.2,2.1,2.1,2.16,2.36,4,2023_3
32199844,Cukierman v Safwat,2023-03-20,12:00:00,9361738,Daniel Cukierman,6948116,Mohamed Safwat,Daniel Cukierman,9361738,TRUE,1.87,1.68,1.68,1.68,1.74,4,2023_4
32200212,Hibino v Frech,2023-03-21,0:00:00,8444351,Magdalena Frech,7683152,Nao Hibino,Nao Hibino,7683152,FALSE,2,1.93,1.89,1.98,2.02,28,2023_5
32200212,Hibino v Frech,2023-03-21,0:00:00,8444351,Magdalena Frech,7683152,Nao Hibino,Magdalena Frech,8444351,TRUE,1.97,1.93,2.02,2.02,1.98,23,2023_6
32201994,Ma Kasnikowski v Bobrov,2023-03-20,14:00:00,9632596,Bogdan Bobrov,35635702,Maks Kasnikowski,Maks Kasnikowski,35635702,FALSE,1.38,1.36,1.36,1.32,1.32,7,2023_7
32201994,Ma Kasnikowski v Bobrov,2023-03-20,14:00:00,9632596,Bogdan Bobrov,35635702,Maks Kasnikowski,Bogdan Bobrov,9632596,TRUE,3.85,3.8,3.8,3.8,3.8,3,2023_8
32200871,V Tomova v Golubic,2023-03-20,19:30:00,7283232,Viktorija Golubic,4597116,Viktoriya Tomova,Viktorija Golubic,7283232,TRUE,2.54,2.36,2.4,2.26,2.2,36,2023_9
32200871,V Tomova v Golubic,2023-03-20,19:30:00,7283232,Viktorija Golubic,4597116,Viktoriya Tomova,Viktoriya Tomova,4597116,FALSE,1.65,1.71,1.71,1.76,1.8,35,2023_10
32200904,Kokkinakis v Collarini,2023-03-20,15:00:00,8284716,Andrea Collarini,8172416,Thanasi Kokkinakis,Thanasi Kokkinakis,8172416,FALSE,1.06,1.1,1.06,1.08,1.06,20,2023_11
32200904,Kokkinakis v Collarini,2023-03-20,15:00:00,8284716,Andrea Collarini,8172416,Thanasi Kokkinakis,Andrea Collarini,8284716,TRUE,13.5,12.5,12.5,14,16,12,2023_12
32200769,D Yastremska v Friedsam,2023-03-21,0:00:00,7593369,Anna-Lena Friedsam,9634670,Dayana Yastremska,Dayana Yastremska,9634670,FALSE,1.86,1.84,1.79,1.81,1.82,51,2023_13
32200769,D Yastremska v Friedsam,2023-03-21,0:00:00,7593369,Anna-Lena Friedsam,9634670,Dayana Yastremska,Anna-Lena Friedsam,7593369,TRUE,2.14,2.2,2.26,2.2,2.22,34,2023_14
32199753,Max Rehberg v Oberleitner,2023-03-20,10:00:00,21256253,Max Hans Rehberg,13534572,Neil Oberleitner,Max Hans Rehberg,21256253,TRUE,1.31,1.39,1.42,1.46,1.46,10,2023_15
32199753,Max Rehberg v Oberleitner,2023-03-20,10:00:00,21256253,Max Hans Rehberg,13534572,Neil Oberleitner,Neil Oberleitner,13534572,FALSE,4.2,2.88,3,3.2,2.98,4,2023_16
32200959,Meligeni Alves v Basilashvili,2023-03-20,15:00:00,42830226,Felipe Meligeni Alves,8257807,Nikoloz Basilashvili,Nikoloz Basilashvili,8257807,FALSE,1.39,1.4,1.33,1.39,1.33,18,2023_17
32200959,Meligeni Alves v Basilashvili,2023-03-20,15:00:00,42830226,Felipe Meligeni Alves,8257807,Nikoloz Basilashvili,Felipe Meligeni Alves,42830226,TRUE,3.9,3.5,3.65,3.4,3.85,12,2023_18
32197850,Dougaz v Kwiatkowski,2023-03-19,9:00:00,9632269,Aziz Dougaz,8258569,Thai-Son Kwiatkowski,Aziz Dougaz,9632269,TRUE,1.64,1.66,1.62,1.7,1.73,21,2023_19
32197850,Dougaz v Kwiatkowski,2023-03-19,9:00:00,9632269,Aziz Dougaz,8258569,Thai-Son Kwiatkowski,Thai-Son Kwiatkowski,8258569,FALSE,2.54,2.44,2.44,2.38,2.3,11,2023_20
32197001,S Hess v N Bruna,2023-03-20,15:00:00,9301994,N Bruna,39060155,S Hess,N Bruna,9301994,TRUE,1.1,1.4,1.05,1.29,2.7,8,2023_21
32197001,S Hess v N Bruna,2023-03-20,15:00:00,9301994,N Bruna,39060155,S Hess,S Hess,39060155,FALSE,11,3.5,1.03,1.52,1.52,4,2023_22
32197496,Sk Mansouri v Svrcina,2023-03-19,9:00:00,13714711,Dalibor Svrcina,9624517,Skander Mansouri,Skander Mansouri,9624517,FALSE,3.7,3.8,3.7,3.8,3.85,28,2023_23
32197496,Sk Mansouri v Svrcina,2023-03-19,9:00:00,13714711,Dalibor Svrcina,9624517,Skander Mansouri,Dalibor Svrcina,13714711,TRUE,1.34,1.36,1.36,1.33,1.34,29,2023_24
32200934,Albot v E Ymer,2023-03-20,15:00:00,7414305,Elias Ymer,6603898,Radu Albot,Elias Ymer,7414305,TRUE,2.5,2.5,2.52,2.58,2.58,21,2023_25
32200934,Albot v E Ymer,2023-03-20,15:00:00,7414305,Elias Ymer,6603898,Radu Albot,Radu Albot,6603898,FALSE,1.63,1.65,1.64,1.68,1.6,17,2023_26
32200562,Muchova v Kucova,2023-03-21,0:00:00,9632758,Karolina Muchova,3990441,Kristina Kucova,Karolina Muchova,9632758,TRUE,1.15,1.07,1.08,1.06,1.06,32,2023_27
32200562,Muchova v Kucova,2023-03-21,0:00:00,9632758,Karolina Muchova,3990441,Kristina Kucova,Kristina Kucova,3990441,FALSE,8,15,14,17,17,23,2023_28
32200969,Thompson v Olivo,2023-03-20,15:00:00,19924841,Jordan Thompson,4822931,Renzo Olivo,Jordan Thompson,19924841,TRUE,1.13,1.14,1.12,1.11,1.08,13,2023_29
32200969,Thompson v Olivo,2023-03-20,15:00:00,19924841,Jordan Thompson,4822931,Renzo Olivo,Renzo Olivo,4822931,FALSE,10.5,10,10,10.5,12,11,2023_30
32200994,Borges v Johnson,2023-03-20,15:00:00,9633043,Nuno Borges,4876706,Steve Johnson,Nuno Borges,9633043,TRUE,1.38,1.5,1.6,1.66,1.69,51,2023_31
32200994,Borges v Johnson,2023-03-20,15:00:00,9633043,Nuno Borges,4876706,Steve Johnson,Steve Johnson,4876706,FALSE,3.6,3.1,2.68,2.52,2.38,78,2023_32
32198025,Onclin v Sh Mochizuki,2023-03-19,9:00:00,11878711,Gauthier Onclin,20955040,Shintaro Mochizuki,Gauthier Onclin,11878711,TRUE,1.5,1.48,1.5,1.5,1.5,14,2023_33
32198025,Onclin v Sh Mochizuki,2023-03-19,9:00:00,11878711,Gauthier Onclin,20955040,Shintaro Mochizuki,Shintaro Mochizuki,20955040,FALSE,3,3.05,3,3,2.98,10,2023_34
32199938,Co Bittoun Kouzmine v Olivetti,2023-03-20,9:00:00,6179151,Albano Olivetti,9633557,Constantin Bittoun Kouz,Albano Olivetti,6179151,TRUE,2.14,1.98,1.86,2.12,2.14,9,2023_35
32199938,Co Bittoun Kouzmine v Olivetti,2023-03-20,9:00:00,6179151,Albano Olivetti,9633557,Constantin Bittoun Kouz,Constantin Bittoun Kouz,9633557,FALSE,2.02,2.02,2,1.9,1.88,7,2023_36
32197880,Ritschard v Ben Hassan,2023-03-19,9:00:00,7444812,Alexander Ritschard,9631799,Benjamin Hassan,Benjamin Hassan,9631799,FALSE,3.7,4.3,4.3,3.95,3.95,2,2023_37
32197880,Ritschard v Ben Hassan,2023-03-19,9:00:00,7444812,Alexander Ritschard,9631799,Benjamin Hassan,Alexander Ritschard,7444812,TRUE,1.37,1.36,1.36,1.34,1.31,6,2023_38
32200373,Ju Briand v Glinka,2023-03-20,12:00:00,12154100,Daniil Glinka,10957895,Jurgen Briand,Jurgen Briand,10957895,FALSE,1.33,1.45,1.31,1.41,1.44,10,2023_39
32200373,Ju Briand v Glinka,2023-03-20,12:00:00,12154100,Daniil Glinka,10957895,Jurgen Briand,Daniil Glinka,12154100,TRUE,4.1,3.25,3.25,3.4,2.98,8,2023_40
32199748,Gi Fonio v Da Wenger,2023-03-20,9:00:00,10221867,Damien Wenger,9712890,Giovanni Fonio,Giovanni Fonio,9712890,FALSE,1.5,1.44,1.4,1.42,1.42,16,2023_41
32199748,Gi Fonio v Da Wenger,2023-03-20,9:00:00,10221867,Damien Wenger,9712890,Giovanni Fonio,Damien Wenger,10221867,TRUE,2.96,3.95,3.95,3.95,3.2,5,2023_42
32201890,Sun v Kawakami,2023-03-20,12:00:00,8812610,Fajing Sun,11869155,Rimpei Kawakami,Fajing Sun,8812610,TRUE,2.4,2.26,2.26,2.28,2.26,3,2023_43
32201890,Sun v Kawakami,2023-03-20,12:00:00,8812610,Fajing Sun,11869155,Rimpei Kawakami,Rimpei Kawakami,11869155,FALSE,1.54,1.8,1.62,1.73,1.79,4,2023_44
32200974,Le Tien v Struff,2023-03-20,15:00:00,8259098,Jan-Lennard Struff,42082091,Learner Tien,Jan-Lennard Struff,8259098,TRUE,7.2,1.12,1.14,1.13,1.13,22,2023_45
32200974,Le Tien v Struff,2023-03-20,15:00:00,8259098,Jan-Lennard Struff,42082091,Learner Tien,Learner Tien,42082091,FALSE,1.16,7.8,7.8,8.4,8.8,14,2023_46
32200184,Lajal v Raynel,2023-03-20,14:00:00,38374960,Amaury Raynel,40594116,Mark Lajal,Mark Lajal,40594116,FALSE,1.2,1.17,1.29,1.19,1.19,14,2023_47
32200184,Lajal v Raynel,2023-03-20,14:00:00,38374960,Amaury Raynel,40594116,Mark Lajal,Amaury Raynel,38374960,TRUE,4.5,6,6,6,6,1,2023_48
32197012,M Mouilleron Salvo v G Andreozzi,2023-03-20,14:00:00,9623077,G Andreozzi,39060158,M Mouilleron Salvo,G Andreozzi,9623077,TRUE,1.29,1.01,1.01,1.01,1.01,1,2023_49
32197012,M Mouilleron Salvo v G Andreozzi,2023-03-20,14:00:00,9623077,G Andreozzi,39060158,M Mouilleron Salvo,M Mouilleron Salvo,39060158,FALSE,4.4,,,,4.4,0,2023_50
32200929,E Gomez v Skatov,2023-03-20,15:00:00,4994250,Emilio Gomez,14534269,Timofey Skatov,Emilio Gomez,4994250,TRUE,1.65,1.61,1.61,1.65,1.64,24,2023_51
32200929,E Gomez v Skatov,2023-03-20,15:00:00,4994250,Emilio Gomez,14534269,Timofey Skatov,Timofey Skatov,14534269,FALSE,2.64,2.6,2.6,2.58,2.58,17,2023_52
