event_id,event_name,date,time_utc,runnerid1,runnername1,runnerid2,runnername2,runner,runner_id,is_runner1,opening_odds,odds_25pct,odds_50pct,odds_75pct,closing_odds,num_updates,record_id
33123321,Maria Siopacha v Celine Simunyu,2024-03-20,10:00:00,36038824,Celine Simunyu,10347292,Maria Siopacha,Celine Simunyu,36038824,TRUE,1.26,1.25,1.25,1.25,1.17,2,2024_1
33123321,Maria Siopacha v Celine Simunyu,2024-03-20,10:00:00,36038824,Celine Simunyu,10347292,Maria Siopacha,Maria Siopacha,10347292,FALSE,5,7,7,7,7,1,2024_2
33121675,Oliver Crawford v Jacob Brumm,2024-03-20,0:00:00,12819784,Jacob Brumm,10896520,Oliver Crawford,Jacob Brumm,12819784,TRUE,11.5,11,11,11,13.5,2,2024_3
33121675,Oliver Crawford v Jacob Brumm,2024-03-20,0:00:00,12819784,Jacob Brumm,10896520,Oliver Crawford,Oliver Crawford,10896520,FALSE,1.07,1.08,1.08,1.08,1.09,5,2024_4
33122853,Timofey Skatov v Alessandro Giannessi,2024-03-20,10:20:00,5829494,Alessandro Giannessi,14534269,Timofey Skatov,Alessandro Giannessi,5829494,TRUE,2.5,1.87,1.86,2.06,2.16,16,2024_5
33122853,Timofey Skatov v Alessandro Giannessi,2024-03-20,10:20:00,5829494,Alessandro Giannessi,14534269,Timofey Skatov,Timofey Skatov,14534269,FALSE,1.66,2.16,1.94,1.87,1.81,34,2024_6
33123372,Andreea Prisacariu v Jennifer Ruggeri,2024-03-20,7:00:00,9633341,Andreea Prisacariu,21651931,Jennifer Ruggeri,Andreea Prisacariu,9633341,TRUE,1.44,1.47,1.47,1.47,1.47,1,2024_7
33120593,Gergana Topalova v Emma Fulvia Wiesenfeld,2024-03-19,10:00:00,67045612,Emma Fulvia Wiesenfeld,10372284,Gergana Topalova,Gergana Topalova,10372284,FALSE,1.09,1.02,1.02,1.03,1.03,6,2024_8
33120593,Gergana Topalova v Emma Fulvia Wiesenfeld,2024-03-19,10:00:00,67045612,Emma Fulvia Wiesenfeld,10372284,Gergana Topalova,Emma Fulvia Wiesenfeld,67045612,TRUE,55,36,36,36,36,1,2024_9
33120594,Ilinca Dalina Amariei v Hanne Vandewinkel,2024-03-19,10:00:00,63207779,Hanne Vandewinkel,64804670,Ilinca Dalina Amariei,Hanne Vandewinkel,63207779,TRUE,1.55,1.71,1.71,1.71,1.71,1,2024_10
33120594,Ilinca Dalina Amariei v Hanne Vandewinkel,2024-03-19,10:00:00,63207779,Hanne Vandewinkel,64804670,Ilinca Dalina Amariei,Ilinca Dalina Amariei,64804670,FALSE,2.4,,,,2.4,0,2024_11
33121629,Kody Pearson v Ajeet Rai,2024-03-20,2:10:00,16655852,Ajeet Rai,9630691,Kody Pearson,Ajeet Rai,16655852,TRUE,1.09,1.22,1.22,1.22,1.22,1,2024_12
33121629,Kody Pearson v Ajeet Rai,2024-03-20,2:10:00,16655852,Ajeet Rai,9630691,Kody Pearson,Kody Pearson,9630691,FALSE,5.5,,,,5.5,0,2024_13
33124503,Adolfo Daniel Vallejo v Roman Andres Burruchaga,2024-03-20,20:20:00,25989822,Adolfo Daniel Vallejo,19249207,Roman Andres Burruchaga,Roman Andres Burruchaga,19249207,FALSE,1.6,1.57,1.5,1.44,1.47,23,2024_14
33124503,Adolfo Daniel Vallejo v Roman Andres Burruchaga,2024-03-20,20:20:00,25989822,Adolfo Daniel Vallejo,19249207,Roman Andres Burruchaga,Adolfo Daniel Vallejo,25989822,TRUE,3.2,2.66,3,3,3.1,14,2024_15
33121567,Valerio Aboian v Gustavo Heide,2024-03-20,0:30:00,21809000,Gustavo Heide,26309906,Valerio Aboian,Valerio Aboian,26309906,FALSE,3.75,3.65,3.65,3.85,3.85,5,2024_16
33121567,Valerio Aboian v Gustavo Heide,2024-03-20,0:30:00,21809000,Gustavo Heide,26309906,Valerio Aboian,Gustavo Heide,21809000,TRUE,1.38,1.33,1.29,1.34,1.33,9,2024_17
33121103,Juan Bautista Torres v Alexander Weis,2024-03-19,23:00:00,9634691,Alexander Weis,24432273,Juan Bautista Torres,Juan Bautista Torres,24432273,FALSE,1.54,1.61,1.62,1.68,1.63,10,2024_18
33121103,Juan Bautista Torres v Alexander Weis,2024-03-19,23:00:00,9634691,Alexander Weis,24432273,Juan Bautista Torres,Alexander Weis,9634691,TRUE,2.66,2.64,2.62,2.48,2.6,9,2024_19
33121907,Cabral/Rocha v Johnson/Martinez,2024-03-20,6:00:00,67275195,Cabral/Rocha,67275196,Johnson/Martinez,Cabral/Rocha,67275195,TRUE,1.56,1.58,1.58,1.58,1.58,1,2024_20
33121907,Cabral/Rocha v Johnson/Martinez,2024-03-20,6:00:00,67275195,Cabral/Rocha,67275196,Johnson/Martinez,Johnson/Martinez,67275196,FALSE,2.44,,,,2.44,0,2024_21
33122123,Andy Murray v Matteo Berrettini,2024-03-20,14:00:00,2256509,Andy Murray,8962036,Matteo Berrettini,Matteo Berrettini,8962036,FALSE,1.7,1.72,1.87,1.86,1.83,122,2024_22
